# chunk_key bias_dv bias_err_stat bias_rms_stat
3 0.12324192 0.02061984 0.14065404
4 -1.25283478 0.01894740 0.44145932
5 0.01351721 0.06289823 3.11811751
6 -0.26624784 0.04021022 0.33357061
7 -0.69961815 0.02229773 0.72598835
8 -1.37746862 0.01081780 0.20151423
9 -1.18641835 0.00927432 0.12357587
10 -1.16177695 0.01068515 0.15249686
11 -1.34694117 0.01233823 0.34440527
12 -1.17314780 0.01049731 0.43295957
13 -1.38224727 0.01037429 0.22854374
14 -1.31263906 0.01006250 0.11129466
15 -1.08252868 0.01102148 0.21746046
16 -1.10139761 0.00851586 0.12973141
17 -1.32797045 0.00553888 0.11480033
18 -1.01806660 0.00926548 0.28838310
19 -1.38943002 0.00732913 0.10503487
20 -1.28900202 0.00799666 0.10304710
21 -1.30136501 0.00659905 0.07432332
22 -1.17339194 0.00893500 0.12228573
23 0.82323917 0.00648745 0.08919654
24 0.79963198 0.01035793 0.08405161
25 0.89707814 0.00972338 1.29213338
26 0.68420128 0.00478175 0.06300370
27 0.75235047 0.00655712 0.23860565
28 0.93882061 0.00804486 0.15917959
29 0.82276169 0.00810811 0.11280512
30 1.12562042 0.01014456 0.17707660
31 1.12434411 0.00668723 0.09806534
32 0.51625315 0.01047157 0.15168029
33 0.92526193 0.00992259 0.10979980
35 1.17842076 0.00944746 0.48864537
36 1.11681324 0.00693302 1.07419724
38 1.62007078 0.01317640 0.29134149
39 1.90046638 0.01571363 0.54580457
40 1.19063925 0.01314078 0.14752288
45 1.94010806 0.01416519 0.22066894
47 2.66914747 0.02636356 0.28918096
