source_id,nss_solution_type
180388802529353600,Orbital
1702370142434513152,Orbital
1974320226017353856,Orbital
1002740757557931264,Orbital
1028887114002082432,Orbital
1350295047363872512,Orbital
1973469822491488256,Orbital
2016863526351814656,Orbital
245948793944575360,Orbital
1925560664891372544,Orbital
2027276245075950464,Orbital
2063029786217170944,Orbital
2084232489271240960,Orbital
2175208456478008448,Orbital
2300816385649468032,Orbital
1871419337958702720,Orbital
2025838736707895040,Orbital
2029241725193137024,Orbital
2080945469200565248,Orbital
1764232038163628032,Orbital
2073170852550006144,Orbital
1748901959855337472,Orbital
2013931919117717376,Orbital
2060397551084568832,Orbital
2173012353803919872,Orbital
2177644768088904960,Orbital
2209850769326693888,Orbital
204912477375300224,Orbital
1901057945185748608,Orbital
1943485758142279808,Orbital
1996273998586199680,Orbital
2040949187551563904,Orbital
1854241667792418304,Orbital
2052738181284248192,Orbital
2129927539681151872,Orbital
2202124874774754176,Orbital
2300270684285205120,Orbital
1996182532963972992,Orbital
1998953821962845696,Orbital
2031103129670302336,Orbital
1828692006869611648,Orbital
2049463904375005184,Orbital
2083618416332991616,Orbital
2426116249713980416,Orbital
254954623109806976,Orbital
1144019690966028928,Orbital
1978377080333206528,Orbital
1997780265099210752,Orbital
2007313615038492288,Orbital
1763766669867101056,Orbital
1832527653184689408,Orbital
1859981393375786624,Orbital
1989288599361317632,Orbital
1694708646628402048,Orbital
2076368064858958592,Orbital
2165068549784577024,Orbital
1929262720537663616,Orbital
2106634665023950592,Orbital
1055396098829558784,Orbital
1831515892016617856,Orbital
1903279027392243968,Orbital
2005890606477702016,Orbital
2135330200524398080,Orbital
1695294922548180224,Orbital
1808409590741378944,Orbital
1837853653133474688,Orbital
1976272237115747072,Orbital
1994771142294034560,Orbital
1933393413927856384,Orbital
1977418959028795648,Orbital
1988346455331320320,Orbital
2010395473099138944,Orbital
2200363873769396992,Orbital
2251465600807256192,Orbital
1993726709326358528,Orbital
2195470016228007424,Orbital
2254791692199089536,Orbital
511329810937660416,Orbital
927234343436710400,Orbital
6328149636482597888,Orbital
693994976196519296,Orbital
866472238510163968,Orbital
3041083621512398848,Orbital
4144743775455688576,Orbital
4360679715812158592,Orbital
4373465352415301632,Orbital
3111209476696494592,Orbital
4298656402347923712,Orbital
412019549906425216,Orbital
508341475782368128,Orbital
498070113026597888,Orbital
4318244751769513600,Orbital
367332373686115328,Orbital
492613163802572288,Orbital
4482912934572480384,Orbital
4509011462269157888,Orbital
77413727493690112,SB1
425758772325707264,Orbital
426994520321587584,Orbital
3099426697777440896,Orbital
465093354131112960,Orbital
626111128296261632,SB1
3113779241530432384,Orbital
3351077936976749568,Orbital
449121951305471360,Orbital
4287259238460324224,Orbital
448779934468113280,Orbital
457039671979425280,Orbital
809741149368202752,Orbital
2995037723803290624,Orbital
3323544825789763712,Orbital
3406422782473326720,Orbital
4101843717915359488,Orbital
4311100292675423872,Orbital
426510769565128064,Orbital
491545267431014016,Orbital
3640889032890567040,Orbital
6281177228434199296,Orbital
286401926972631424,Orbital
411996288362515328,Orbital
958479989998172288,Orbital
3378588057203660160,Orbital
4186286004736185984,Orbital
4600723410759259264,Orbital
3005232155096811136,Orbital
5112376435164120320,Orbital
441256285637824512,Orbital
468391369318487040,SB1
3031329097951246464,Orbital
3357797567932421120,Orbital
4483510351647102848,Orbital
2990956061763538176,Orbital
284476097995697664,Orbital
4248199573219059584,Orbital
4384513795007410048,Orbital
5152756278867291392,Orbital
520346390405630976,Orbital
3030067030402508800,Orbital
3869650535947137920,Orbital
4513138204329447552,Orbital
3040194047884039808,Orbital
3369528356272086528,Orbital
5739213168119531392,Orbital
411196153129382272,Orbital
3509370326763016704,Orbital
4219507576765009536,Orbital
4235992142289065600,Orbital
